_Input;_Num;_pageUrl;_resultNumber;_Source;_widgetName;City;Company;Display Sheet ;Id;Industry;Metro;Rank (copy);State L;State S;Url;Workers (bin);Growth;Metric Calculation;Rank;Rev;Revenue;Revenue (copy);Workers;Workers (copy);Yrs On List
;1;http://www.inc.com/inc5000list/json/inc5000_2014.json;1;Inc5000 Company List;Inc5000 Company List;El Segundo;Fuhu;Company;22890;Consumer Products & Services;Los Angeles;#Error;California;CA;fuhu;220;158956,9106;861850,220264317;1;861850,220264317;195640000;195,64M;227;227;2
;2;http://www.inc.com/inc5000list/json/inc5000_2014.json;2;Inc5000 Company List;Inc5000 Company List;El Segundo;Quest Nutrition;Company;25747;Food & Beverage;Los Angeles;#Error;California;CA;quest-nutrition;190;57347,9246;432673,104712042;2;432673,104712042;82640563;82,64M;191;191;1
;3;http://www.inc.com/inc5000list/json/inc5000_2014.json;3;Inc5000 Company List;Inc5000 Company List;Arlington;Reliant Asset Management;Company;25643;Business Products & Services;Washington DC;#Error;Virginia;VA;reliant-asset-management;140;55460,1646;586734,496551724;3;586734,496551724;85076502;85,08M;145;145;1
;4;http://www.inc.com/inc5000list/json/inc5000_2014.json;4;Inc5000 Company List;Inc5000 Company List;Palo Alto;Superfish;Company;26098;Software;San Jose;#Error;California;CA;superfish;60;26042,963;569241,935483871;4;569241,935483871;35293000;35,29M;62;62;1
;5;http://www.inc.com/inc5000list/json/inc5000_2014.json;5;Inc5000 Company List;Inc5000 Company List;Maynard;Acacia Communications;Company;26182;Telecommunications;Boston;#Error;Massachusetts;MA;acacia-communications;90;20690,4578;844047,391304348;5;844047,391304348;77652360;77,65M;92;92;1
;6;http://www.inc.com/inc5000list/json/inc5000_2014.json;6;Inc5000 Company List;Inc5000 Company List;Auburn;Provider Power;Company;22913;Energy;Lewiston-Auburn ME;#Error;Maine;ME;provider-power;50;19876,5169;2759544,06;6;2759544,06;137977203;137,98M;50;50;2
;7;http://www.inc.com/inc5000list/json/inc5000_2014.json;7;Inc5000 Company List;Inc5000 Company List;South San Francisco;Crescendo Bioscience;Company;22937;Health;San Francisco;#Error;California;CA;crescendo-bioscience;120;18375,0693;211689,92248062;7;211689,92248062;27308000;27,31M;129;129;2
;8;http://www.inc.com/inc5000list/json/inc5000_2014.json;8;Inc5000 Company List;Inc5000 Company List;Scottsdale;Plexus Worldwide;Company;25413;Health;Phoenix;#Error;Arizona;AZ;plexus-worldwide;130;16457,6529;1229977,6;8;1229977,6;159897088;159,90M;130;130;1
;9;http://www.inc.com/inc5000list/json/inc5000_2014.json;9;Inc5000 Company List;Inc5000 Company List;Portland;Vacasa;Company;26079;Travel & Hospitality;Portland OR;#Error;Oregon;OR;vacasa;260;16192,061;99482,780303030;9;99482,780303030;26263454;26,26M;264;264;1
;10;http://www.inc.com/inc5000list/json/inc5000_2014.json;10;Inc5000 Company List;Inc5000 Company List;Wilmington;Go Energies;Company;25861;Energy;Wilmington NC;#Error;North Carolina;NC;go-energies;10;16006,8013;2986523,09090909;10;2986523,09090909;32851754;32,85M;11;11;1
;11;http://www.inc.com/inc5000list/json/inc5000_2014.json;11;Inc5000 Company List;Inc5000 Company List;Boulder;Minute Key;Company;25231;Consumer Products & Services;Boulder CO;#Error;Colorado;CO;minute-key;110;14588,3448;139664,061946903;11;139664,061946903;15782039;15,78M;113;113;1
;12;http://www.inc.com/inc5000list/json/inc5000_2014.json;12;Inc5000 Company List;Inc5000 Company List;Lenexa;Sainstore;Company;26450;Business Products & Services;Waterloo-Cedar Falls IA;#Error;Kansas;KS;sainstore;130;14086,513;142547,133333333;12;142547,133333333;19243863;19,24M;135;135;1
